Item,Description,Type,Lot No.,Exp Date,Cost,Quantity On Hand,Quantity On Sales Order,Quantity On Purchase Order,U/M
"Mindray Products:TropI (F20319C0AAD, 2026-02-17)",Finecare Troponin I 25T,Inventory Part,F20319C0AAD,2026-02-17," 4,320.00 ",0.00,0.00,0.00,kit (kit)
"Mindray Products:TropI(2024020101, 2025-09-11)",Mindray CL900i Troponin I Calibrators,Inventory Part,2024020101,2025-09-11,"7,655.35714",0.00,0.00,0.00,kit (kit)
"Mindray Products:Tropl (2024060111, 2025-08-20)",Mindray CL900i Troponin l,Inventory Part,2024060111,2025-08-20," 10,935.00 ",8.00,0.00,0.00,kit (kit)
"Mindray Products:Tropl (2024080101, 2026-03-07)",Mindray CL900i Tropnin l Calibrators,Inventory Part,2024080101,2026-03-07," 5,040.00 ",0.00,0.00,0.00,kit (kit)
"Mindray Products:TSH (2023120111, 2025-05-01)",Mindray CL900i TSH Calibrators,Inventory Part,2023120111,2025-05-01," 3,645.00 ",0.00,0.00,0.00,kit (kit)
"Mindray Products:TSH (2024040111, 2025-08-19)",Mindray CL900i TSH Calibrators,Inventory Part,2024040111,2025-08-19," 2,520.00 ",2.00,1.00,0.00,kit (kit)
"Mindray Products:TSH (2024040112, 2025-07-15)",Mindray CL900i TSH 2x50,Inventory Part,2024040112,2025-07-15," 4,158.00 ",0.00,0.00,0.00,kit (kit)
"Mindray Products:TSH (2024040113, 2025-07-15)",Mindray CL900i TSH 2x50,Inventory Part,2024040113,2025-07-15," 2,940.00 ",-1.00,0.00,0.00,kit (kit)
"Mindray Products:TSH (2024060121, 2025-10-14)",Mindray CL900i TSH 2x50,Inventory Part,2024060121,2025-10-14," 2,940.00 ",9.00,4.00,0.00,kit (kit)
"Mindray Products:Tumor (2024010111, 2025-03-19)",Mindray CL900i Tumor Marker Multi Control (L),Inventory Part,2024010111 - EXPIRED,2025-03-19," 12,600.00 ",3.00,0.00,0.00,kit (kit)
"Mindray Products:Tumor (2024040112, 2025-06-20)",Mindray CL900i Tumor Marker Multi Control (H),Inventory Part,2024040112,2025-06-20," 15,120.00 ",2.00,0.00,0.00,kit (kit)
"Mindray Products:Tumor (2024090111, 2025-09-28)",Mindray CL900i Tumor Marker Multi Control H,Inventory Part,2024090111,2025-09-28," 15,120.00 ",2.00,0.00,0.00,kit (kit)
"Mindray Products:Tumor(2024040112, 2025-06-20)",Mindray CL900i Tumor Marker Multi Control L,Inventory Part,2024040112,2025-06-20," 12,600.00 ",2.00,0.00,0.00,kit (kit)
"Mindray Products:UA (141224007, 2025-09-18)",Mindray BS800 Uric Acid 1104,Inventory Part,141224007,2025-09-18," 2,940.00 ",1.00,0.00,0.00,kit (kit)
"Mindray Products:UA (141224010, 2025-11-09)",Mindray BS240/360/430 Uric Acid 4*40ml+2*20ml,Inventory Part,141224010,2025-11-09, 885.00 ,4.00,2.00,0.00,kit (kit)
"Mindray Products:UA (141224018, 2026-03-19)",Mindray BS800 Uric Acid 1104,Inventory Part,141224018,2026-03-19," 2,940.00 ",2.00,0.00,0.00,kit (kit)
"Mindray Products:UA (141224022, 2026-05-11)",Mindray BS240/360/430 Uric Acid 4*40ml+2*20ml,Inventory Part,141224022,2026-05-11," 1,032.50 ",-1.00,0.00,0.00,kit (kit)
Mindray Products:UD-37007261,Mindray BC30 Auto Hematology Analyzer,Inventory Part,UD-37007261,," 179,465.00 ",0.00,0.00,0.00,unit (unit)
Mindray Products:UD-37007262,Mindray BC30 Auto Hematology Analyzer,Inventory Part,UD-37007262,," 179,465.00 ",1.00,1.00,0.00,unit (unit)
Mindray Products:UD-37007263,Mindray BC30 Auto Hematology Analyzer,Inventory Part,UD-37007263,, 0.00 ,0.00,0.00,0.00,unit (unit)
"Mindray Products:Urea (141324008, 2025-03-11)",Mindray BS240/360/430 Urea 2x18ml,Inventory Part,141324008 - EXPIRED,2025-03-11," 1,200.00 ",10.00,0.00,0.00,kit (kit)
"Mindray Products:Urea (141324012, 2025-05-10)",Mindray BS240/360/430 Urea 176ml,Inventory Part,141324012 (G),2025-05-10, 682.50 ,2.00,2.00,0.00,kit (kit)
"Mindray Products:Urea (141324023, 2025-09-03)",Mindray BS240/360/430 Urea 2x18ml,Inventory Part,141324023,2025-09-03, 682.50 ,-2.00,0.00,0.00,kit (kit)
"Mindray Products:Urea (141324028, 2025-10-31)",Mindray BS240/360/430 Urea 2x18ml,Inventory Part,141324028,2025-10-31, 682.50 ,3.00,0.00,0.00,kit (kit)
"Mindray Products:Uric (141224014, 2025-12-27)",Mindray BS800 Uric Acid 1104,Inventory Part,141224014,2025-12-27," 2,940.00 ",3.00,0.00,0.00,kit (kit)
Mindray Products:Vertical Motor Assy,Mindray BS240pro Vertical Motor Assembly,Inventory Part,,, 0.00 ,1.00,0.00,0.00,pc (pc)
Mindray Products:Wash Bung (115-037347-00),Mindray CL900i  Wash Bung Module,Inventory Part,115-037347-00,," 3,080.00 ",3.00,0.00,0.00,pc (pc)
"Mindray Products:WashBuf(2024040221, 2025-11-29)",Mindray CL900i Substrate Solution,Inventory Part,2024040221,2025-11-29," 6,061.50 ",0.00,0.00,0.00,kit (kit)
Mindray Products:Waste Box,Mindray CL900i Waste Box,Inventory Part,,, 0.00 ,18.00,1.00,0.00,pc (pc)
Mindray Products:WBC Bath's (801-3003-00003-00),Mindray BC3000 WBC Bath's Maintenance Assembly,Inventory Part,801-3003-00003-00,," 6,160.00 ",3.00,0.00,0.00,pc (pc)
Mindray Products:WBC Bath (801-1805-00017-00),Mindray BC3000 WBC Bath Assembly (with Ruby),Inventory Part,801-1805-00017-00,," 17,710.00 ",1.00,0.00,0.00,pc (pc)
Mindray Products:WBC Chamber,Mindray BC3000 WBC Chamber w/out Aperture,Inventory Part,,, 0.00 ,0.00,0.00,0.00,pc (pc)
Mindray Products:YX-51010217,Mindray BS240Pro Fully Auto Chemistry Analyzer (Closed),Inventory Part,YX-51010217,," 420,000.00 ",1.00,0.00,0.00,unit (unit)
Mindray Products:YX-51010219,Mindray BS240Pro Fully Auto Chemistry Analyzer (Closed),Inventory Part,YX-51010219,," 420,000.00 ",1.00,0.00,0.00,unit (unit)
Mindray Products:YX-51010220,Mindray BS240Pro Fully Auto Chemistry Analyzer (Closed),Inventory Part,YX-51010220,," 420,000.00 ",1.00,0.00,0.00,unit (unit)
Mindray Products:YX-51010221,Mindray BS240Pro Fully Auto Chemistry Analyzer (Closed),Inventory Part,YX-51010221,," 4,200.00 ",1.00,0.00,0.00,unit (unit)
Mindray Products:YX-51010223,Mindray BS240Pro Fully Auto Chemistry Analyzer (Closed),Inventory Part,YX-51010223,," 420,000.00 ",1.00,0.00,0.00,unit (unit)
Mindray Products:YX-51010226,Mindray BS240Pro Fully Auto Chemistry Analyzer (Closed),Inventory Part,YX-51010226,," 420,000.00 ",0.00,0.00,0.00,unit (unit)
Mindray Products:YX-52010366,Mindray BS240Pro Chemistry Analyzer,Inventory Part,YX-52010366,," 483,000.00 ",1.00,0.00,0.00,unit (unit)
Mindray Products:YX-52010367,Mindray BS240Pro Chemistry Analyzer,Inventory Part,YX-52010367,," 483,000.00 ",1.00,0.00,0.00,unit (unit)
Mindray Products:YX-52010368,Mindray BS240Pro Chemistry Analyzer,Inventory Part,YX-52010368,," 483,000.00 ",1.00,0.00,0.00,unit (unit)
Mindray Products:YX-52010369,Mindray BS240Pro Chemistry Analyzer,Inventory Part,YX-52010369,," 483,000.00 ",1.00,0.00,0.00,unit (unit)
Mindray Products:YX-52010370,Mindray BS240Pro Chemistry Analyzer,Inventory Part,YX-52010370,," 483,000.00 ",1.00,0.00,0.00,unit (unit)
Monlab Products,,Inventory Part,,, 0.00 ,0.00,0.00,0.00,
Monlab Products:Monlab Reagents,,Inventory Part,,, 0.00 ,0.00,0.00,0.00,
MRL Products,,Inventory Part,,,"2,784.375",0.00,0.00,0.00,
MRL Products:A15 (PC13380),Biosystems A15 Microprocessor board  PC13380,Inventory Part,,," 34,232.14 ",0.00,0.00,0.00,pc (pc)
"MRL Products:ALP(163118, 2022-08-31)","Standbio Alkaline Phosphase 4x30ml (163118, 2022-08-31)",Inventory Part,,,"2,491.071",0.00,0.00,0.00,kit (kit)
"MRL Products:ALT (LIQ461, 2023-01-31)","Spinreact ALT/GPT 300ml (LIQ461, 2023-01-31)",Inventory Part,,,"2,732.1448",0.00,0.00,0.00,kit (kit)
"MRL Products:ALT / GPT (LIQ431A, 2021-01-31)","Spinreact ALT/GPT -LQ IFF Enzymatic 300ml (LIQ431A, 2021-01-31)",Inventory Part,,," 2,458.93 ",0.00,0.00,0.00,kit (kit)
"MRL Products:AST (LIQ239, 2023-01-31)","Spinreact AST/GOT 300ml (LIQ239, 2023-01-31)",Inventory Part,,,"2,732.1458",0.00,0.00,0.00,kit (kit)
MRL Products:Awareness Parts,,Inventory Part,,, 0.00 ,0.00,0.00,0.00,
MRL Products:Awareness Parts:Rack Junction,Awareness PCA Rack Junction,Inventory Part,,," 3,000.00 ",0.00,0.00,0.00,Pack (pck)
MRL Products:Awareness Parts:Reaction wells,Chemwell Immulon Reaction Wells,Inventory Part,,, 0.00 ,0.00,0.00,0.00,pc (pc)
MRL Products:Awareness Parts:Sample Cup,"Chemwell Sample Cup, 100's/pack",Inventory Part,,," 1,701.00 ",0.00,0.00,0.00,Pack (pck)
"MRL Products:BUN (LIQ377, 2023-05-31)","Spinreact BUN 300ml (LIQ377, 2023-05-31)",Inventory Part,,,"2,035.71429",0.00,0.00,3.00,kit (kit)
"MRL Products:Bun (LIQ379, 2023-31-05)","Spinreact BUN 300ml (LIQ379, 2023-31-05)",Inventory Part,,," 1,832.14 ",0.00,0.00,0.00,kit (kit)
"MRL Products:Calib (24908, 2024-04-30)",Spinreact Multicalibrator,Inventory Part,24908,2024-04-30," 1,530.00 ",0.00,0.00,0.00,vial (vial)
MRL Products:CN BA-31,"MRG CN BA-31 BS-200 Cuvettes, 250's BA-31",Inventory Part,,," 9,000.00 ",0.00,0.00,0.00,kit (kit)
"MRL Products:Crea (141124004, 2025-07-18)",Mindray BS240/360/430 Creatinine,Inventory Part,141124004,2025-07-18," 2,389.72 ",0.00,0.00,0.00,kit (kit)
MRL Products:DREW Reagents,,Inventory Part,,, 0.00 ,0.00,0.00,0.00,
"MRL Products:Elevated (6577A, 2024-01-31)",Spinreact Elevated Control,Inventory Part,6577A,2024-01-31," 1,700.00 ",0.00,0.00,0.00,vial (vial)
"MRL Products:HDL (142124001, 2026-01-11)",Mindray BS240/360/430 HDL-C 1*40ml+1*14ml,Inventory Part,142124001,2026-01-11," 4,083.35 ",0.00,0.00,0.00,kit (kit)
MRL Products:Lamp 12V20W,Gilway 12V 20W Halogen Lamp,Inventory Part,,," 1,350.00 ",0.00,0.00,0.00,pc (pc)
MRL Products:Lamp holder A15,Lamp Holder for A15,Inventory Part,,,,0.00,0.00,0.00,pc (pc)
MRL Products:Leica Consumables,,Inventory Part,,, 0.00 ,0.00,0.00,0.00,
"MRL Products:Leica Consumables:Cryo Oil, Type 407","Leica Cryo Oil, type 407, 100ml",Inventory Part,,," 4,610.00 ",0.00,0.00,0.00,pc (pc)
MRL Products:LPI Consumables,,Inventory Part,,, 0.00 ,0.00,0.00,0.00,
"MRL Products:Normal (14591B, 2024-01-31)",Spinreact Normal Control,Inventory Part,14591B,2024-01-31," 1,542.50 ",0.00,0.00,0.00,vial (vial)
"MRL Products:Stanbio(182763, 2023-10-31)","Stanbio HDL Cholestero Direct 80ml (182763, 2023-10-31)",Inventory Part,,," 8,116.08 ",0.00,0.00,0.00,kit (kit)
"MRL Products:Trig (LIQ445, 2025-04-30)",Spinreact Triglycerides 2x150ml,Inventory Part,LIQ445,2025-04-30," 4,012.00 ",0.00,0.00,0.00,kit (kit)
"MRL Products:Trigly (LIQ373, 2021-08-31)","Spinreact Triglycerides 2x 150ml (LIQ373, 2021-08-31)",Inventory Part,,," 3,411.16 ",0.00,0.00,0.00,kit (kit)
"MRL Products:TSH (2023120111, 2025-05-01)",Mindray CL900i TSH CAL 2ml,Inventory Part,2023120111,2025-05-01," 3,946.32 ",0.00,0.00,0.00,kit (kit)
"MRL Products:Urea (200511, 12-31-2021)","Stanbio Urea 4x30ml (200511, 12-31-2021)",Inventory Part,,," 1,730.00 ",0.00,0.00,0.00,kit (kit)
"MRL Products:Urea (LIQ344A, 2020-12-31)","Spinreact Urea Liq 1 x 240ml / 1 x 60ml (LIQ344A, 2020-12-31)",Inventory Part,,," 1,647.32 ",0.00,0.00,0.00,kit (kit)
"MRL Products:Urea (LIQ357,2021-12-31)","Spinreact Urea Liquid (LIQ357,2021-12-31)",Inventory Part,,," 1,938.00 ",0.00,0.00,0.00,kit (kit)
"MRL Products:Urea (LIQ395, 2024-01-31)",Spinreact BUN 300ml,Inventory Part,LIQ395,2024-01-31, 0.00 ,0.00,0.00,0.00,kit (kit)
"MRL Products:Urea (LIQ407, 2024-12-31)",Spinreact Urea,Inventory Part,LIQ407,2024-12-31,"1,832.14286",0.00,0.00,0.00,kit (kit)
"MRL Products:Urea(LIQ362, 2022-04-20)","Spinreact Urea Liquid (LIQ362, 2022-04-30)",Inventory Part,,," 1,830.35 ",0.00,0.00,0.00,kit (kit)
Norma Products,,Inventory Part,,, 0.00 ,0.00,0.00,0.00,
Norma Products:Micro (JYY(B)-Y-68),Norma Chem 200 Micro Liquid Pump,Inventory Part,YY(B)-Y-68,, 0.00 ,1.00,0.00,0.00,pc (pc)
Norma Products:Norma Consumables,,Inventory Part,,, 0.00 ,0.00,0.00,0.00,
Norma Products:Norma Consumables:NRC-CUV,Norma Cuvettes,Inventory Part,,, 0.00 ,0.00,0.00,0.00,pc (pc)
Norma Products:Norma Equipment,,Inventory Part,,, 0.00 ,0.00,0.00,0.00,
Norma Products:Norma Equipment:Chem200 (120170234),Norma Chem200 Chemistry Analyzer (120170234),Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Norma Products:Norma Equipment:Chem200 (120170235),Norma Chem200 Chemistry Analyzer,Inventory Part,120170235 - REFURBISHED,, 0.00 ,1.00,0.00,0.00,unit (unit)
Norma Products:Norma Equipment:Chem200 (120180238),Norma Chem200 Chemistry Analyzer  (120180238),Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Norma Products:Norma Equipment:Chem200 (120180239),Norma Chem200 Chemistry Analyzer  (120180239),Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Norma Products:Norma Equipment:Chem200 (120180240),Norma Chem200 Chemistry Analyzer  (120180240),Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Norma Products:Norma Equipment:Chem200 (120180241),Norma Chem200 Chemistry Analyzer  (120180241),Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Norma Products:Norma Equipment:Chem200 (120180242),Norma Chem200 Chemistry Analyzer  (120180242),Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Norma Products:Norma Equipment:Chem200 (120180243),Norma Chem200 Chemistry Analyzer  (120180243),Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Norma Products:Norma Equipment:Chem200 (120180244),Norma Chem200 Chemistry Analyzer  (120180244),Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Norma Products:Norma Equipment:Chem200 (120180245),Norma Chem200 Chemistry Analyzer  (120180245),Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Norma Products:Norma Equipment:Icon3 (ND30H14009),Norma Icon3 Hematology Analyzer,Inventory Part,ND30H14009 - OLD UNIT,, 0.00 ,1.00,0.00,0.00,unit (unit)
Norma Products:Norma Equipment:Icon3 (ND30H14071),Norma Icon3 Hematology Analyzer,Inventory Part,ND30H14071 - OLD UNIT,, 0.00 ,0.00,0.00,0.00,unit (unit)
Norma Products:Norma Equipment:Icon3 (ND30H14072),Norma Icon3 Hematology Analyzer,Inventory Part,ND30H14072 - UNDER REPAIR,, 0.00 ,1.00,0.00,0.00,unit (unit)
Norma Products:Norma Equipment:Icon3 (ND30H14073),"Norma Icon3 Hematology Analyzer (ND30H14073) ""Old""",Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Norma Products:Norma Equipment:Icon3 (ND30H14088),Norma Icon3 Hematology Analyzer,Inventory Part,ND30H14088 - DEFECTIVE,, 0.00 ,0.00,0.00,0.00,unit (unit)
Norma Products:Norma Equipment:Icon3 (ND30H15109),Norma Icon3 Hematology Analyzer,Inventory Part,ND30H15109 - DEFECTIVE,, 0.00 ,0.00,0.00,0.00,unit (unit)
Norma Products:Norma Equipment:Icon3 (ND30H15140),Norma Icon3 Hematology Analyzer - OLD UNIT,Inventory Part,ND30H15140,, 0.00 ,1.00,0.00,0.00,unit (unit)
Norma Products:Norma Equipment:Icon3 (ND30H15141),Norma Icon3 Hematology Analyzer (ND30H15141),Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Norma Products:Norma Equipment:Icon3 (ND30H15142),Norma Icon3 Hematology Analyzer - OLD UNIT,Inventory Part,ND30H15142,, 0.00 ,1.00,0.00,0.00,unit (unit)
Norma Products:Norma Equipment:Icon5 (N150810H16116),Norma Icon5 Hematology Analyzer,Inventory Part,N150810H16116 - DEFECTIVE UNIT,, 0.00 ,0.00,0.00,0.00,unit (unit)
Norma Products:Norma Equipment:Icon5 (N150810H16117),Norma Icon5 Hematology Analyzer (N150810H16117),Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Norma Products:Norma Parts,,Inventory Part,,, 0.00 ,0.00,0.00,0.00,
Norma Products:Norma Parts:13P_K045,Norma NC200 Sensor,Inventory Part,,, 0.00 ,11.00,0.00,0.00,pc (pc)
Norma Products:Norma Parts:13P1059000,Norma ICON USB Wifi Dongle,Inventory Part,,, 0.00 ,2.00,0.00,0.00,pc (pc)
Norma Products:Norma Parts:HAE006A,Norma ICON FCTRL Board,Inventory Part,,, 0.00 ,1.00,0.00,0.00,pc (pc)
Norma Products:Norma Parts:HAE007A,Norma Power Button PCB,Inventory Part,,, 0.00 ,0.00,0.00,0.00,pc (pc)
Norma Products:Norma Parts:HAE015A,Norma ICON Open Sample Detector,Inventory Part,,, 0.00 ,2.00,0.00,0.00,Set (set)
Norma Products:Norma Parts:HAE016A,Norma ICON Closed Sample Detector,Inventory Part,,, 0.00 ,1.00,0.00,0.00,pc (pc)
Norma Products:Norma Parts:HAM101A,Norma ICON Sampling Needle,Inventory Part,,, 0.00 ,3.00,0.00,0.00,pc (pc)
Norma Products:Norma Parts:HAM102A,Norma ICON RBC Aperture Module (70um),Inventory Part,,, 0.00 ,3.00,0.00,0.00,pc (pc)
Norma Products:Norma Parts:HAM105A,Norma ICON Micro Glass Syringe (10ml),Inventory Part,,, 0.00 ,2.00,0.00,0.00,pc (pc)
Norma Products:Norma Parts:HAM106A,Norma ICON Valve (3/2),Inventory Part,,, 0.00 ,1.00,0.00,0.00,pc (pc)
Norma Products:Norma Parts:HAM108A,Norma ICON External Wash Head Support,Inventory Part,,, 0.00 ,1.00,0.00,0.00,pc (pc)
Norma Products:Norma Parts:HAM109A,Norma ICON Shear/Sampling Valve (Upgraded),Inventory Part,,, 0.00 ,3.00,0.00,0.00,pc (pc)
Norma Products:Norma Parts:HAM113A,Norma ICON Sampling Tip Tube,Inventory Part,,, 0.00 ,2.00,0.00,0.00,pc (pc)
Norma Products:Norma Parts:HAM114A,Norma ICON Closed Wash Head,Inventory Part,,, 0.00 ,1.00,0.00,0.00,pc (pc)
Norma Products:Norma Parts:HAM128A,"Norma Tube set, ceramic valve",Inventory Part,,, 0.00 ,0.00,0.00,0.00,pc (pc)
Norma Products:Norma Parts:HAM129A,Norma Tube Set for Valve (ISND) manifold,Inventory Part,,, 0.00 ,0.00,0.00,0.00,pc (pc)
Norma Products:Norma Parts:HAM133A,Norma ICON Tube Set for Pump,Inventory Part,,, 0.00 ,0.00,0.00,0.00,pc (pc)
Norma Products:Norma Parts:HAM144A,Norma ICON Instrument Feet Set,Inventory Part,,, 0.00 ,4.00,0.00,0.00,Set (set)
Norma Products:Norma Parts:HAM148A,Norma ICON Syringe Clip,Inventory Part,,, 0.00 ,7.00,0.00,0.00,pc (pc)
Norma Products:Norma Parts:HAP2064,Norma ICON External Reagent Connector,Inventory Part,,, 0.00 ,3.00,0.00,0.00,pc (pc)
Norma Products:Norma Parts:NCS00035 (Warranty),Norma NC200 Main Board,Inventory Part,,, 0.00 ,1.00,0.00,0.00,pc (pc)
Norma Products:Norma Parts:Norma-0001,Norma Stirrer,Inventory Part,,, 0.00 ,0.00,0.00,0.00,pc (pc)
Norma Products:Norma Parts:Norma-0002,Norma Lamp Assembly,Inventory Part,,, 0.00 ,0.00,0.00,0.00,pc (pc)
Norma Products:Norma Parts:Norma-0003,Norma NC200 Peltier Element,Inventory Part,,, 0.00 ,2.00,0.00,0.00,pc (pc)
Norma Products:Norma Parts:Norma-0004,Norma NC200 Probe (Old),Inventory Part,,, 0.00 ,4.00,0.00,0.00,pc (pc)
Norma Products:Norma Parts:Norma-0005,Norma Liquid Level Detection Board,Inventory Part,,, 0.00 ,0.00,0.00,0.00,pc (pc)
Norma Products:Norma Parts:Norma-0006,Norma 3-way Solenoid Valve,Inventory Part,,, 0.00 ,0.00,0.00,0.00,pc (pc)
Norma Products:Norma Parts:Norma-0007,Norma chem probe w/ cable,Inventory Part,,, 0.00 ,0.00,0.00,0.00,pc (pc)
Norma Products:Norma Parts:Norma-0008,Norma NC200 Cuvettes,Inventory Part,,, 0.00 ,12.00,0.00,0.00,pc (pc)
Norma Products:Norma Parts:Norma (2 way valve),Norma NC200 2-way valve,Inventory Part,,,,2.00,0.00,0.00,pc (pc)
Norma Products:Norma Parts:Norma (3 way valve),Norma NC200 3-way Valve,Inventory Part,,,,2.00,0.00,0.00,pc (pc)
Norma Products:Norma Parts:Norma (Lamp Assembly),Norma NC200 Lamp Assembly,Inventory Part,,,,8.00,0.00,0.00,pc (pc)
Norma Products:Norma Parts:Norma (Liquid level Det),Norma NC200 Liquid Level Detection Board,Inventory Part,,,,4.00,0.00,0.00,pc (pc)
Norma Products:Norma Parts:Norma (Motor on Mixing bar ),Norma NC200 Motor on Mixing Bar,Inventory Part,,,,0.00,0.00,0.00,pc (pc)
Norma Products:Norma Parts:Norma (Probe Cable),Norma NC200 Probe Cable,Inventory Part,,,,6.00,0.00,0.00,pc (pc)
Norma Products:Norma Parts:Norma (Probe),Norma NC200 Probe (New),Inventory Part,,,,0.00,0.00,0.00,pc (pc)
Norma Products:Norma Parts:Norma (Waste pump),Norma NC200 Waste Pump,Inventory Part,,,,1.00,0.00,0.00,pc (pc)
Norma Products:Norma Parts:Norma AmplifierBoard,Norma ICON  Amplifier Board,Inventory Part,,, 0.00 ,1.00,0.00,0.00,pc (pc)
Norma Products:Norma Parts:Tube Set,Norma ICON Tube Set,Inventory Part,,, 0.00 ,3.00,0.00,0.00,pc (pc)
Norma Products:Norma Reagents,,Inventory Part,,, 0.00 ,0.00,0.00,0.00,
"Norma Products:Norma Reagents:NRC-CWS (6874, 2018-11)","Norma Cleaning Wash Solution 1L (6874, 2018-11)",Inventory Part,,, 0.00 ,0.00,0.00,0.00,bottle (bottle)
"Norma Products:Norma Reagents:NRC-CWS (8806, 2023-01)","Norma Cleaning Wash Solution 1L (8806, 2023-01)",Inventory Part,,, 0.00 ,0.00,0.00,0.00,bottle (bottle)
"Norma Products:Norma Reagents:Wash Sol (8809, 2026-04-08)","Norma Cleaning Wash Solution 1L (8809, 2026-08-30) - QC HEALTH",Inventory Part,8809,2026-04-08, 0.00 ,0.00,0.00,0.00,bottle (bottle)
"Norma Products:Norma Reagents:Wash Sol (8901, 2026-09-30)",Norma Cleaning Wash Solution 1L,Inventory Part,8901,2026-09-30, 0.00 ,0.00,0.00,0.00,bottle (bottle)
Omnibus Products,,Inventory Part,,, 0.00 ,0.00,0.00,0.00,
Omnibus Products:(CX23LEDRFS1),Olympus CX-23 LEDDRFS1 Binocular Microscope - LKBP DR20736,Inventory Part,,," 55,000.00 ",0.00,0.00,0.00,unit (unit)
Omnibus Products:CX-23LEDRFS1 (3F82166),Olympus CX-23LEDRFS1 Microscope,Inventory Part,3F82166,," 58,000.00 ",0.00,0.00,0.00,unit (unit)
Omnibus Products:CX-23LEDRFS1 (3F82167),Olympus CX-23LEDRFS1 Microscope,Inventory Part,3F82167,," 58,000.00 ",0.00,0.00,0.00,unit (unit)
Omnibus Products:CX-23LEDRFS1 (3F82168),Olympus CX-23LEDRFS1 Microscope,Inventory Part,3F82168,," 58,000.00 ",0.00,0.00,0.00,unit (unit)
Omnibus Products:CX-23LEDRFS1 (3M83080),Olympus CX-23LEDRFS1 Microscope,Inventory Part,3M83080,,"52,678.57143",1.00,0.00,0.00,unit (unit)
Omnibus Products:Omnibus Equipment,,Inventory Part,,, 0.00 ,0.00,0.00,0.00,
Omnibus Products:Omnibus Equipment:CX-23 (1M81423),Olympus CX-23 Binocular Microscope LED (1M81423),Inventory Part,,," 59,000.00 ",0.00,0.00,1.00,unit (unit)
Omnibus Products:Omnibus Equipment:CX-23 (CX23LEDRFS1),Olympus CX-23 Binocular Microscope LED (CX23LEDRFS1) FOR OM MEDICAL,Inventory Part,,," 55,000.00 ",0.00,0.00,0.00,unit (unit)
Omnibus Products:Omnibus Equipment:CX-23 LEDDRFS1,Olympus CX-23 Binocular Microscope SN:OA86919,Inventory Part,,," 53,000.00 ",0.00,0.00,0.00,unit (unit)
Omnibus Products:Omnibus Equipment:Olympus CX-23,Olympus CX-23 Biological Microscope SN:9J87831,Inventory Part,,," 53,000.00 ",0.00,0.00,0.00,unit (unit)
Omnibus Products:Omnibus Equipment:Olympus CX-23 8F88494,Olympus CX-23 Biological Microscope SN: 8F88494,Inventory Part,,," 53,000.00 ",0.00,0.00,0.00,unit (unit)
Omnibus Products:Omnibus Equipment:Olympus CX-23(9H86013),Olympus CX-23 Biological Microscope SN: 9H86013,Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Omnibus Products:Omnibus Equipment:Olympus CX-23LEDRFS1,Olympus CX-23 Biological Microscope SN: CX-23LEDRFS1,Inventory Part,,," 53,000.00 ",0.00,0.00,0.00,unit (unit)
Other Products,,Inventory Part,,, 0.00 ,0.00,0.00,0.00,
"Other Products:(OH)VD (M019014H01, 2026-03-18)",Anbio 25(OH)VD 1x25T,Inventory Part,M019014H01,2026-03-18," 2,600.00 ",0.00,0.00,0.00,kit (kit)
Other Products:650VA UPS,AWP UPS 650VA,Inventory Part,,, 0.00 ,2.00,0.00,0.00,unit (unit)
Other Products:A15 Probe belt,Biosystems  A15 Y-Axis Motor Belt - PMTS DR19823,Inventory Part,,, 375.75 ,0.00,0.00,0.00,pc (pc)
Other Products:Acetic,LP Medic 3% Acetic Acid 500ml,Inventory Part,,, 160.00 ,0.00,0.00,0.00,bottle (bottle)
Other Products:AF100C (AF24054B677),Anbio AF100C Single Channel,Inventory Part,AF24054B677,, 0.00 ,0.00,0.00,0.00,unit (unit)
Other Products:AF100C (AF24064B758),Anbio AF100C Single Channel,Inventory Part,AF24064B758,, 0.00 ,0.00,0.00,0.00,unit (unit)
Other Products:AF100C (AF24064B759),Anbio AF100C Single Channel,Inventory Part,AF24064B759,, 0.00 ,0.00,0.00,0.00,unit (unit)
Other Products:AF100C (AF24094BD28),Anbio AF100C Single Channel,Inventory Part,AF24094BD28,, 0.00 ,0.00,0.00,0.00,unit (unit)
Other Products:AF100C (AF24094BD44),Anbio AF100C Single Channel,Inventory Part,AF24094BD44,, 0.00 ,1.00,1.00,0.00,unit (unit)
Other Products:AF100C (AF24094BG02),Anbio AF100C Single Channel,Inventory Part,AF24094BG02,, 0.00 ,0.00,0.00,0.00,unit (unit)
